Model_ID	MGE_Type	Name	Full annotation	Version
TIGR02238	recombinase	TIGR02238	recomb_DMC1: meiotic recombinase Dmc1	v1.1
TIGR02249	integron	TIGR02249	integrase_gron: integron integrase	v1.1
TIGR02419	plasmid	TIGR02419	C4_traR_proteo: phage/conjugal plasmid C-4 type zinc finger protein, TraR family	v1.1
TIGR02525	plasmid	TIGR02525	plasmid_TraJ: plasmid transfer ATPase TraJ	v1.1
TIGR02686	conjugative	TIGR02686	relax_trwC: conjugative relaxase domain	v1.1
TIGR02738	conjugative	TIGR02738	TrbB: type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	v1.1
TIGR02739	conjugative	TIGR02739	TraF: type-F conjugative transfer system pilin assembly protein TraF	v1.1
TIGR02741	conjugative	TIGR02741	TraQ: type-F conjugative transfer system pilin chaperone TraQ	v1.1
TIGR02742	conjugative	TIGR02742	TrbC_Ftype: type-F conjugative transfer system pilin assembly protein TrbC	v1.1
TIGR02743	conjugative	TIGR02743	TraW: type-F conjugative transfer system protein TraW	v1.1
TIGR02744	conjugative	TIGR02744	TrbI_Ftype: type-F conjugative transfer system protein TrbI	v1.1
TIGR02747	conjugative	TIGR02747	TraV: type IV conjugative transfer system protein TraV	v1.1
TIGR02750	conjugative	TIGR02750	TraN_Ftype: type-F conjugative transfer system mating-pair stabilization protein TraN	v1.1
TIGR02755	conjugative	TIGR02755	TraX_Ftype: type-F conjugative transfer system pilin acetylase TraX	v1.1
TIGR02756	conjugative	TIGR02756	TraK_Ftype: type-F conjugative transfer system secretin TraK	v1.1
TIGR02758	conjugative	TIGR02758	TraA_TIGR: type IV conjugative transfer system pilin TraA	v1.1
TIGR02759	conjugative	TIGR02759	TraD_Ftype: type IV conjugative transfer system coupling protein TraD	v1.1
TIGR02760	conjugative	TIGR02760	TraI_TIGR: conjugative transfer relaxase protein TraI	v1.1
TIGR02761	conjugative	TIGR02761	TraE_TIGR: type IV conjugative transfer system protein TraE	v1.1
TIGR02762	conjugative	TIGR02762	TraL_TIGR: type IV conjugative transfer system protein TraL	v1.1
TIGR02767	conjugative	TIGR02767	TraG-Ti: Ti-type conjugative transfer system protein TraG	v1.1
TIGR02768	conjugative	TIGR02768	TraA_Ti: Ti-type conjugative transfer relaxase TraA	v1.1
TIGR02771	conjugative	TIGR02771	TraF_Ti: conjugative transfer signal peptidase TraF	v1.1
TIGR02775	conjugative	TIGR02775	TrbG_Ti: P-type conjugative transfer protein TrbG	v1.1
TIGR02780	conjugative	TIGR02780	TrbJ_Ti: P-type conjugative transfer protein TrbJ	v1.1
TIGR02781	conjugative	TIGR02781	VirB9: P-type conjugative transfer protein VirB9	v1.1
TIGR02782	conjugative	TIGR02782	TrbB_P: P-type conjugative transfer ATPase TrbB	v1.1
TIGR02783	conjugative	TIGR02783	TrbL_P: P-type conjugative transfer protein TrbL	v1.1
TIGR03453	plasmid	TIGR03453	partition_RepA: plasmid partitioning protein RepA	v1.1
TIGR03454	plasmid	TIGR03454	partition_RepB: plasmid partitioning protein RepB	v1.1
TIGR03474	plasmid	TIGR03474	incFII_RepA: incFII family plasmid replication initiator RepA	v1.1
TIGR03743	conjugative	TIGR03743	SXT_TraD: conjugative coupling factor TraD, SXT/TOL subfamily	v1.1
TIGR03744	conjugative	TIGR03744	traC_PFL_4706: conjugative transfer ATPase, PFL_4706 family	v1.1
TIGR03745	conjugative	TIGR03745	conj_TIGR03745: integrating conjugative element membrane protein, PFL_4702 family	v1.1
TIGR03746	conjugative	TIGR03746	conj_TIGR03746: integrating conjugative element protein, PFL_4703 family	v1.1
TIGR03747	conjugative	TIGR03747	conj_TIGR03747: integrating conjugative element membrane protein, PFL_4697 family	v1.1
TIGR03748	conjugative	TIGR03748	conj_PilL: integrating conjugative element protein PilL, PFGI-1 class	v1.1
TIGR03749	conjugative	TIGR03749	conj_TIGR03749: integrating conjugative element protein, PFL_4704 family	v1.1
TIGR03750	conjugative	TIGR03750	conj_TIGR03750: conjugative transfer region protein, TIGR03750 family	v1.1
TIGR03751	conjugative	TIGR03751	conj_TIGR03751: conjugative transfer region lipoprotein, TIGR03751 family	v1.1
TIGR03752	conjugative	TIGR03752	conj_TIGR03752: integrating conjugative element protein, PFL_4705 family	v1.1
TIGR03754	conjugative	TIGR03754	conj_TOL_TraD: conjugative coupling factor TraD, PFGI-1 class	v1.1
TIGR03755	conjugative	TIGR03755	conj_TIGR03755: integrating conjugative element protein, PFL_4711 family	v1.1
TIGR03756	conjugative	TIGR03756	conj_TIGR03756: integrating conjugative element protein, PFL_4710 family	v1.1
TIGR03757	conjugative	TIGR03757	conj_TIGR03757: integrating conjugative element protein, PFL_4709 family	v1.1
TIGR03758	conjugative	TIGR03758	conj_TIGR03758: integrating conjugative element protein, PFL_4701 family	v1.1
TIGR03759	conjugative	TIGR03759	conj_TIGR03759: integrating conjugative element protein, PFL_4693 family	v1.1
TIGR03760	conjugative	TIGR03760	ICE_TraI_Pfluor: integrating conjugative element relaxase, PFGI-1 class	v1.1
TIGR03761	conjugative	TIGR03761	ICE_PFL4669: integrating conjugative element protein, PFL_4669 family	v1.1
TIGR03764	conjugative	TIGR03764	ICE_PFGI_1_parB: integrating conjugative element, PFGI_1 class, ParB family protein	v1.1
TIGR03765	conjugative	TIGR03765	ICE_PFL_4695: integrating conjugative element protein, PFL_4695 family	v1.1
TIGR03779	conjugative	TIGR03779	Bac_Flav_CT_M: Bacteroides conjugative transposon TraM protein	v1.1
TIGR03780	conjugative	TIGR03780	Bac_Flav_CT_N: Bacteroides conjugative transposon TraN protein	v1.1
TIGR03781	conjugative	TIGR03781	Bac_Flav_CT_K: Bacteroides conjugative transposon TraK protein	v1.1
TIGR03782	conjugative	TIGR03782	Bac_Flav_CT_J: Bacteroides conjugative transposon TraJ protein	v1.1
TIGR03783	conjugation	TIGR03783	Bac_Flav_CT_G: Bacteroides conjugation system ATPase, TraG family	v1.1
TIGR04346	conjugal	TIGR04346	DotA_TraY: conjugal transfer/type IV secretion protein DotA/TraY	v1.1
TIGR04360	conjugative	TIGR04360	other_trbK: conjugative transfer region protein TrbK	v1.1
